XNSE/MERCATOR_UADJ,Mercator Ltd (MERCATOR) Unadjusted Stock Prices
XNSE/N4SRTRANSFIN_UADJ,Shriram Transport Finance Co. Ltd. (N4SRTRANSFIN) Unadjusted Stock Prices
XNSE/KALINDEE_UADJ,Kalindee Rail Nirman (Engineers) Ltd. (KALINDEE) Unadjusted Stock Prices
XNSE/ERAINFRA_UADJ,Era Infra Engineering Ltd. (ERAINFRA) Unadjusted Stock Prices
XNSE/UMESLTD_UADJ,Usha Martin Education & Solutions Ltd (UMESLTD) Unadjusted Stock Prices
XNSE/INDIANB_UADJ,Indian Bank (INDIANB) Unadjusted Stock Prices
XNSE/SPECTACLE_UADJ,Spectacle Ventures Ltd (SPECTACLE) Unadjusted Stock Prices
XNSE/TATACHEM_UADJ,Tata Chemicals Ltd. (TATACHEM) Unadjusted Stock Prices
XNSE/JPASSOCIAT_UADJ,Jaiprakash Associates Ltd. (JPASSOCIAT) Unadjusted Stock Prices
XNSE/SPYL_UADJ,Shekhawati Poly-Yarn Limited (SPYL) Unadjusted Stock Prices
XNSE/TIIL_UADJ,Technocraft Industries (India) Ltd. (TIIL) Unadjusted Stock Prices
XNSE/N1IIFLFIN_UADJ,India Infoline Finance Ltd (N1IIFLFIN) Unadjusted Stock Prices
XNSE/MAX_UADJ,Max Financial Services Ltd. (MAX) Unadjusted Stock Prices
XNSE/ATULAUTO_UADJ,Atul Auto Ltd. (ATULAUTO) Unadjusted Stock Prices
XNSE/SHASUNPHAR_UADJ,Shasun Pharmaceuticals Ltd (SHASUNPHAR) Unadjusted Stock Prices
XNSE/MANAKALUCO_UADJ,Manaksia Aluminium Co. Ltd. (MANAKALUCO) Unadjusted Stock Prices
XNSE/SUNPHARMA_UADJ,Sun Pharmaceutical Industries Ltd. (SUNPHARMA) Unadjusted Stock Prices
XNSE/ZEEL_UADJ,Zee Entertainment Enterprises Ltd (ZEEL) Unadjusted Stock Prices
XNSE/HOVS_UADJ,HOV Services Ltd. (HOVS) Unadjusted Stock Prices
XNSE/BURNPUR_UADJ,Burnpur Cement Ltd. (BURNPUR) Unadjusted Stock Prices
XNSE/PDUMJEPULP_UADJ,Pudumjee Pulp & Paper Mills Ltd. (PDUMJEPULP) Unadjusted Stock Prices
XNSE/SOBHA_UADJ,Sobha Ltd. (SOBHA) Unadjusted Stock Prices
XNSE/ASHAPURMIN_UADJ,Ashapura Minechem Ltd. (ASHAPURMIN) Unadjusted Stock Prices
XNSE/SOLARINDS_UADJ,Solar Industries India Ltd (SOLARINDS) Unadjusted Stock Prices
XNSE/GREAVESCOT_UADJ,Greaves Cotton Ltd. (GREAVESCOT) Unadjusted Stock Prices
XNSE/AFL_UADJ,Accel Frontline Ltd. (AFL) Unadjusted Stock Prices
XNSE/UPL_UADJ,UPL Ltd (UPL) Unadjusted Stock Prices
XNSE/NBVENTURES_UADJ,Nava Bharat Ventures Ltd. (NBVENTURES) Unadjusted Stock Prices
XNSE/CELEBRITY_UADJ,Celebrity Fashions Ltd. (CELEBRITY) Unadjusted Stock Prices
XNSE/DHANBANK_UADJ,Dhanlaxmi Bank Ltd. (DHANBANK) Unadjusted Stock Prices
XNSE/KANORICHEM_UADJ,Kanoria Chemicals & Industries Ltd. (KANORICHEM) Unadjusted Stock Prices
XNSE/ZENITHINFO_UADJ,Zenith Infotech Ltd. (ZENITHINFO) Unadjusted Stock Prices
XNSE/CUB_UADJ,City Union Bank Ltd. (CUB) Unadjusted Stock Prices
XNSE/SHIRPUR_G_UADJ,Shirpur Gold Refinery Ltd. (SHIRPUR-G) Unadjusted Stock Prices
XNSE/IOLCP_UADJ,IOL Chemicals & Pharmaceuticals Ltd. (IOLCP) Unadjusted Stock Prices
XNSE/FIRSTWIN_UADJ,First Winner Industries Ltd (FIRSTWIN) Unadjusted Stock Prices
XNSE/TECHM_UADJ,Tech Mahindra Ltd. (TECHM) Unadjusted Stock Prices
XNSE/PRISMCEM_UADJ,Prism Cement Ltd. (PRISMCEM) Unadjusted Stock Prices
XNSE/APLAB_UADJ,Aplab Ltd. (APLAB) Unadjusted Stock Prices
XNSE/GREENPOWER_UADJ,Orient Green Power Company Limited (GREENPOWER) Unadjusted Stock Prices
XNSE/PIRPHYTO_UADJ,Piramal Phytocare Ltd (PIRPHYTO) Unadjusted Stock Prices
XNSE/JINDRILL_UADJ,Jindal Drilling & Industries Ltd. (JINDRILL) Unadjusted Stock Prices
XNSE/SDBL_UADJ,Som Distilleries & Breweries Ltd. (SDBL) Unadjusted Stock Prices
XNSE/MASTEK_UADJ,Mastek Ltd. (MASTEK) Unadjusted Stock Prices
XNSE/RELDIVOPP_UADJ,Reliance Nippon Life Asset Management Ltd. (RELDIVOPP) Unadjusted Stock Prices
XNSE/ORIENTREF_UADJ,Orient Refractories Ltd (ORIENTREF) Unadjusted Stock Prices
XNSE/N2SBIN_UADJ,State Bank of India (N2SBIN) Unadjusted Stock Prices
XNSE/MFFTFTF15GR_UADJ,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF15GR) Unadjusted Stock Prices
XNSE/ALKYLAMINE_UADJ,Alkyl Amines Chemicals Ltd. (ALKYLAMINE) Unadjusted Stock Prices
XNSE/LUPIN_UADJ,Lupin Ltd (LUPIN) Unadjusted Stock Prices
